Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1000983	1000983	Pavlova granifera	(Mack) J.C.Green 1973	SPECIES				no	haptophytes	Eukaryota	2759			Haptophyta	2830			Pavlovales	73026	Pavlovaceae	418969	Pavlova	2831	Pavlova granifera	1000983	TRUE
Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1000995	1000995	Diacronema ennorea	(van der Veer & Leewis) Bendif & Véron, 2011	SPECIES	Pavlova ennorea	van der Veer & Leewis 1977		no	haptophytes	Eukaryota	2759			Haptophyta	2830			Pavlovales	73026	Pavlovaceae	418969	Diacronema	70451	Diacronema ennorea	1000995	TRUE
Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1001111	1001111	Opuntia gaumeri	(Britton & Rose) Lode, 2014	SPECIES				no	eudicots	Eukaryota	2759	Viridiplantae	33090	Streptophyta	35493	Magnoliopsida	3398	Caryophyllales	3524	Cactaceae	3593	Opuntia	106975	Opuntia gaumeri	1001111	TRUE
Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
100272	100272	uncultured eukaryote		SPECIES				no	eukaryotes	Eukaryota	2759													uncultured eukaryote	100272	FALSE
Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1002954	1002954	Udea ferrugalis	(Hubner, 1796)	SPECIES	Pyralis ferrugalis	Hübner, 1796		no	moths	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Lepidoptera	7088	Crambidae	268499	Udea	572908	Udea ferrugalis	1002954	TRUE
Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1003031	1003031	Cerataulina pelagica	(Cleve) Hendey	SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Mediophyceae	589449	Hemiaulales	420267	Hemiaulaceae	49250	Cerataulina	1003030	Cerataulina pelagica	1003031	TRUE
Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1003048	1003048	Entomoneis ornata	(J.W.Bailey) Reimer 1975	SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Bacillariophyceae	33849			Entomoneidaceae	186041	Entomoneis	186042	Entomoneis ornata	1003048	TRUE
Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1003055	1003055	Gyrosigma acuminatum	(Kuetzing) Rabenhorst	SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836	Bacillariophyceae	33849	Naviculales	38748	Pleurosigmataceae	197751	Gyrosigma	197760	Gyrosigma acuminatum	1003055	TRUE
