seqid	qlen	length	pident	mismatch	qstart	qend	sstart	send	gaps	evalue	taxonomy
4526;size=38;	1312	362	95.304	13	946	1303	1568	1929	4	2.5400000000000003e-157	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
7551;size=643;	1232	163	88.344	19	560	722	116	278	0	1.67e-44	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
1418;size=125;	514	516	94.574	22	1	514	1141	1652	6	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; environmental samples; uncultured zygomycete
5540;size=5;	758	298	98.993	3	461	758	1	298	0	1.88e-146	cellular organisms; Eukaryota; Sar; Rhizaria; Cercozoa; Imbricatea; Silicofilosea; Euglyphida; Euglyphidae; Euglypha; Euglypha rotunda
12734;size=3;	749	146	87.671	15	596	740	2073	2216	3	7.82e-36	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
12007;size=10;	798	203	91.626	17	596	798	666	868	0	2.8600000000000002e-70	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycetes; Pezizales; Pyronemataceae; unclassified Pyronemataceae; Pyronemataceae sp. B KH.04.21
795;size=17;	787	366	87.432	30	437	787	3277	3641	16	4.4599999999999996e-108	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Gastrotricha; Chaetonotida; Paucitubulatina; Chaetonotidae; Chaetonotus; unclassified Chaetonotus; Chaetonotus sp. 1 MK-2019
9635;size=26;	1174	96	91.667	4	1080	1172	353	259	4	1.64e-24	cellular organisms; Eukaryota; Sar; Rhizaria; Cercozoa; Kraken; Kraken carinae
5785;size=29;	793	366	88.251	21	428	793	1529	1872	22	2.08e-111	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
12591;size=11;	667	333	91.592	23	338	667	2803	3133	5	1.32e-122	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Syndiniales; Amoebophryaceae; Amoebophrya; unclassified Amoebophrya; Amoebophrya sp. ex Gymnodinium instriatum
8160;size=481;	578	165	91.515	14	413	577	1381	1545	0	2.69e-54	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Peridiniales; Heterocapsaceae; Heterocapsa; Heterocapsa circularisquama
2970;size=14;	1063	605	81.818	75	339	925	625	1212	35	1.65e-128	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Moestrupia; Moestrupia oblonga
10650;size=4;	690	331	90.634	17	346	673	608	927	14	2.98e-114	cellular organisms; Eukaryota; Opisthokonta; Aphelida; Aphelidea; Aphelidiaceae; Aphelidium; Aphelidium parallelum
1160;size=10;	751	199	95.477	9	553	751	81	279	0	2.04e-81	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
2407;size=45;	844	335	85.075	40	502	833	593	920	10	8.250000000000001e-86	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Boletales; Gastrosporiaceae; Gastrosporium; Gastrosporium simplex
7749;size=65;	998	210	94.286	9	789	998	2308	2514	3	2.75e-81	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4575;size=3;	731	164	93.902	10	568	731	689	852	0	2.64e-60	cellular organisms; Eukaryota; Sar; Stramenopiles; environmental samples; uncultured marine stramenopile
12084;size=3;	672	151	94.702	3	523	672	5501	5647	5	8.76e-55	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Acrogymnospermae; Pinopsida; Pinidae; Conifers I; Pinales; Pinaceae; Pinus; Pinus subgen. Pinus; Pinus mugo; Pinus mugo subsp. uncinata
12032;size=103;	809	811	90.999	65	1	809	487	1291	8	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Bivalvia; Autobranchia; Pteriomorphia; Limoida; Limidae; Limaria; Limaria fragilis
3356;size=5;	690	706	82.578	84	1	690	300	982	39	4.64e-162	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Gonyaulacales; Amphidomataceae; Azadinium; Azadinium poporum
6796;size=10;	643	320	90.625	30	324	643	2813	3132	0	9.94e-114	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Syndiniales; Amoebophryaceae; Amoebophrya; unclassified Amoebophrya; Amoebophrya sp. ex Gymnodinium instriatum
706;size=114;	628	99	95.96	3	1	99	2627	2724	1	1.09e-33	cellular organisms; Eukaryota; Sar; Alveolata; environmental samples; uncultured marine alveolate
12259;size=9;	710	302	91.722	20	413	710	690	990	5	2.3900000000000003e-110	cellular organisms; Eukaryota; Sar; Alveolata; Perkinsozoa; Perkinsea; Pararosarium; Pararosarium dinoexitiosum
3867;size=138;	751	426	97.183	12	154	579	353	778	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Podoplea; Polyarthra; Canuellidae; Canuella; Canuella perplexa
161;size=198;	590	319	87.461	28	277	590	3046	3357	12	3.3599999999999997e-93	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; unclassified Dinophyceae; Dinophyceae sp. MGot-2020a
4622;size=6;	413	214	98.598	3	11	224	294	81	0	4.880000000000001e-100	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Gymnoplea; Calanoida; Heterorhabdidae; Heterorhabdus; Heterorhabdus norvegicus
55;size=3;	572	325	87.385	34	250	572	241	560	7	5.4e-96	cellular organisms; Eukaryota; Sar; Stramenopiles; unclassified stramenopiles; Heterokontophyta sp. 1 SEH-2013
9607;size=68;	693	693	99.423	4	1	693	1113	1805	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
11305;size=53;	806	428	95.327	19	1	428	742	316	1	0.0	cellular organisms; Eukaryota; Haptista; Haptophyta; Prymnesiophyceae; Prymnesiales; Chrysochromulinaceae; Chrysochromulina; unclassified Chrysochromulina; Chrysochromulina sp. S-14
12111;size=3;	525	145	97.931	3	369	513	476	620	0	1.44e-61	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Chytridiomycota; environmental samples; uncultured Chytridiomycota
4968;size=11;	706	102	94.118	6	1	102	1000	1101	0	1.59e-32	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
8456;size=5;	497	90	93.333	3	406	495	1303	1217	3	6.63e-25	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
5688;size=22;	556	561	95.544	15	3	556	1003	1560	10	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
2347;size=7;	766	523	96.558	17	245	766	1721	1199	1	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
12147;size=13;	677	672	92.56	49	1	672	309	979	1	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Podoplea; Cyclopoida; Cyclopidae; Tropocyclops; Tropocyclops ishidai
6565;size=6;	690	371	99.461	2	1	371	36	406	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Gymnoplea; Calanoida; Clausocalanidae; Clausocalanus; Clausocalanus furcatus
13097;size=8;	753	358	91.341	26	398	753	1509	1863	5	1.91e-131	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
8630;size=115;	606	345	86.377	31	265	606	1156	1487	16	7.419999999999999e-95	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycetes; Pezizales; Rhizinaceae; Rhizina; Rhizina undulata
6786;size=5;	784	483	96.066	19	4	486	924	1406	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Gastrotricha; Chaetonotida; Paucitubulatina; Chaetonotidae; Chaetonotus; Chaetonotus gulosus
7954;size=4;	764	202	92.079	11	566	764	685	884	5	9.82e-70	cellular organisms; Eukaryota; Sar; Alveolata; Ciliophora; Intramacronucleata; Spirotrichea; Hypotrichia; Euplotida; Uronychiidae; Paradiophrys; Paradiophrys irmgard
1276;size=15;	726	343	91.254	20	390	726	1557	1895	10	1.11e-123	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
8759;size=65;	549	549	94.171	32	1	549	234	782	0	0.0	cellular organisms; Eukaryota; Haptista; Haptophyta; environmental samples; Haptophyta environmental samples
9621;size=5;	747	758	84.96	86	1	747	233	973	28	0.0	cellular organisms; Eukaryota; Sar; Rhizaria; Cercozoa; Cercomonadida; Cercomonadidae; Cercomonas; unclassified Cercomonas; Cercomonas sp. HFCC564
7521;size=13;	596	283	93.993	12	314	596	1	278	5	3.3e-113	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
914;size=4;	611	314	95.541	12	298	611	743	1054	2	1.52e-136	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Gonyaulacales; Amphidomataceae; Azadinium; Azadinium concinnum
1039;size=10;	519	327	92.355	15	197	519	1489	1809	10	2.8100000000000002e-123	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
